IDCREDITO,Duracao,HISTORICO,PROPOSITO,Valor,INVESTIMENTOS,EMPREGO,TempoParcelamento,ESTADOCIVIL,FIADOR,ResidenciaDesde,Idade,OUTROSFINANCIAMENTOS,HABITACAO,EmprestimoExistente,PROFISSAO,Dependentes,SocioEmpresa,Estrangeiro,Status
2,48,existentes/pagos,reforma,5951,"<100
",1<=X<4,2,feminino div/dep/cas,nao,2,22,nenhum,proria,1,qualificado,1,0,0,0
3,12,Critico-outros creditos,educacao,2096,"<100
",4<=X<7,2,masculino solteiro,nao,3,49,nenhum,proria,1,nao qualificado,2,0,0,1
4,42,existentes/pagos,moveis,7882,"<100
",4<=X<7,2,masculino solteiro,sim,4,45,nenhum,de graca,1,qualificado,2,0,0,1
5,24,Atrasos anteriores,veiculo novo,4870,"<100
",1<=X<4,3,masculino solteiro,nao,4,53,nenhum,de graca,2,qualificado,2,0,0,0
6,36,existentes/pagos,educacao,9055,"Desconhecido
",1<=X<4,2,masculino solteiro,nao,4,35,nenhum,de graca,1,nao qualificado,2,1,0,1
7,24,existentes/pagos,moveis,2835,500<=X<1000,>=7,3,masculino solteiro,nao,4,53,nenhum,proria,1,qualificado,1,0,0,1
9,12,existentes/pagos,reforma,3059,>=1000,4<=X<7,2,maculino div/dep,nao,4,61,nenhum,proria,1,nao qualificado,1,0,0,1
11,12,existentes/pagos,veiculo novo,1295,"<100
",<1,3,feminino div/dep/cas,nao,1,25,nenhum,alugada,1,qualificado,1,0,0,0
13,12,existentes/pagos,reforma,1567,"<100
",1<=X<4,1,feminino div/dep/cas,nao,1,22,nenhum,proria,1,qualificado,1,1,0,1
14,24,Critico-outros creditos,veiculo novo,1199,"<100
",>=7,4,masculino solteiro,nao,4,60,nenhum,proria,2,nao qualificado,1,0,0,0
16,24,existentes/pagos,reforma,1282,100<=X<500,1<=X<4,4,feminino div/dep/cas,nao,2,32,nenhum,proria,1,nao qualificado,1,0,0,0
17,24,Critico-outros creditos,reforma,2424,"Desconhecido
",>=7,4,masculino solteiro,nao,4,53,nenhum,proria,2,qualificado,1,0,0,1
18,30,sem creditos/todos pagos,abrir negocio,8072,"Desconhecido
",<1,2,masculino solteiro,nao,3,25,banco,proria,3,qualificado,1,0,0,1
19,24,existentes/pagos,veiculo usado,12579,"<100
",>=7,4,feminino div/dep/cas,nao,2,44,nenhum,de graca,1,altamente qualificado/empresario,1,1,0,0
20,24,existentes/pagos,reforma,3430,500<=X<1000,>=7,3,masculino solteiro,nao,2,31,nenhum,proria,1,qualificado,2,1,0,1
21,9,Critico-outros creditos,veiculo novo,2134,"<100
",1<=X<4,4,masculino solteiro,nao,4,48,nenhum,proria,3,qualificado,1,1,0,1
22,6,existentes/pagos,reforma,2647,500<=X<1000,1<=X<4,2,masculino solteiro,nao,3,44,nenhum,alugada,1,qualificado,2,0,0,1
23,10,Critico-outros creditos,veiculo novo,2241,"<100
",<1,1,masculino solteiro,nao,3,48,nenhum,alugada,2,nao qualificado,2,0,1,1
24,12,Critico-outros creditos,veiculo usado,1804,100<=X<500,<1,3,masculino solteiro,nao,4,44,nenhum,proria,1,qualificado,1,0,0,1
25,10,Critico-outros creditos,moveis,2069,"Desconhecido
",1<=X<4,2,masculino cas/viu,nao,1,26,nenhum,proria,2,qualificado,1,0,1,1
26,6,existentes/pagos,moveis,1374,"<100
",1<=X<4,1,masculino solteiro,nao,2,36,banco,proria,1,nao qualificado,1,1,0,1
27,6,sem creditos/todos pagos,reforma,426,"<100
",>=7,4,masculino cas/viu,nao,4,39,nenhum,proria,1,nao qualificado,1,0,0,1
28,12,todos pagos,reforma,409,>=1000,1<=X<4,3,feminino div/dep/cas,nao,3,42,nenhum,alugada,2,qualificado,1,0,0,1
29,7,existentes/pagos,reforma,2415,"<100
",1<=X<4,3,masculino solteiro,sim,2,34,nenhum,proria,1,qualificado,1,0,0,1
30,60,Atrasos anteriores,abrir negocio,6836,"<100
",>=7,3,masculino solteiro,nao,4,63,nenhum,proria,2,qualificado,1,1,0,0
31,18,existentes/pagos,abrir negocio,1913,>=1000,<1,3,masculino cas/viu,nao,3,36,banco,proria,1,qualificado,1,1,0,1
32,24,existentes/pagos,moveis,4020,"<100
",1<=X<4,2,masculino solteiro,nao,2,27,loja,proria,1,qualificado,1,0,0,1
33,18,existentes/pagos,veiculo novo,5866,100<=X<500,1<=X<4,2,masculino solteiro,nao,2,30,nenhum,proria,2,qualificado,1,1,0,1
34,12,Critico-outros creditos,abrir negocio,1264,"Desconhecido
",>=7,4,masculino solteiro,nao,4,57,nenhum,alugada,1,nao qualificado,1,0,0,1
36,45,Critico-outros creditos,reforma,4746,"<100
",<1,4,masculino solteiro,nao,2,25,nenhum,proria,2,nao qualificado,1,0,0,0
37,48,Critico-outros creditos,educacao,6110,"<100
",1<=X<4,1,masculino solteiro,nao,3,31,banco,de graca,1,qualificado,1,1,0,1
38,18,existentes/pagos,reforma,2100,"<100
",1<=X<4,4,masculino solteiro,co requerente,2,37,loja,proria,1,qualificado,1,0,0,0
39,10,existentes/pagos,quitar divida,1225,"<100
",1<=X<4,2,masculino solteiro,nao,2,37,nenhum,proria,1,qualificado,1,1,0,1
40,9,existentes/pagos,reforma,458,"<100
",1<=X<4,4,masculino solteiro,nao,3,24,nenhum,proria,1,qualificado,1,0,0,1
41,30,existentes/pagos,reforma,2333,500<=X<1000,>=7,4,masculino solteiro,nao,2,30,banco,proria,1,altamente qualificado/empresario,1,0,0,1
42,12,existentes/pagos,reforma,1158,500<=X<1000,1<=X<4,3,maculino div/dep,nao,1,26,nenhum,proria,1,qualificado,1,1,0,1
43,18,Atrasos anteriores,reforma casa,6204,"<100
",1<=X<4,2,masculino solteiro,nao,4,44,nenhum,proria,1,nao qualificado,2,1,0,1
44,30,Critico-outros creditos,veiculo usado,6187,100<=X<500,4<=X<7,1,masculino cas/viu,nao,4,24,nenhum,alugada,2,qualificado,1,0,0,1
46,11,Critico-outros creditos,veiculo novo,1393,"<100
",<1,4,feminino div/dep/cas,nao,4,35,nenhum,proria,2,altamente qualificado/empresario,1,0,0,1
47,36,existentes/pagos,reforma,2299,500<=X<1000,>=7,4,masculino solteiro,nao,4,39,nenhum,proria,1,qualificado,1,0,0,1
48,6,existentes/pagos,veiculo usado,1352,500<=X<1000,Desempregado,1,feminino div/dep/cas,nao,2,23,nenhum,alugada,1,desempregado,1,1,0,1
49,11,Critico-outros creditos,veiculo novo,7228,"<100
",1<=X<4,1,masculino solteiro,nao,4,39,nenhum,proria,2,nao qualificado,1,0,0,1
50,12,existentes/pagos,reforma,2073,100<=X<500,1<=X<4,4,feminino div/dep/cas,co requerente,2,28,nenhum,proria,1,qualificado,1,0,0,1
51,24,Atrasos anteriores,moveis,2333,"Desconhecido
",<1,4,masculino solteiro,nao,2,29,banco,proria,1,nao qualificado,1,0,0,1
52,27,Atrasos anteriores,veiculo usado,5965,"<100
",>=7,1,masculino solteiro,nao,2,30,nenhum,proria,2,altamente qualificado/empresario,1,1,0,1
53,12,existentes/pagos,reforma,1262,"<100
",1<=X<4,3,masculino solteiro,nao,2,25,nenhum,proria,1,qualificado,1,0,0,1
54,18,existentes/pagos,veiculo usado,3378,"Desconhecido
",1<=X<4,2,masculino solteiro,nao,1,31,nenhum,proria,1,qualificado,1,1,0,1
55,36,Atrasos anteriores,veiculo novo,2225,"<100
",>=7,4,masculino solteiro,nao,4,57,banco,de graca,2,qualificado,1,1,0,0
57,12,existentes/pagos,reforma,6468,"Desconhecido
",Desempregado,2,masculino solteiro,nao,1,52,nenhum,proria,1,altamente qualificado/empresario,1,1,0,0
58,36,Critico-outros creditos,reforma,9566,"<100
",1<=X<4,2,feminino div/dep/cas,nao,2,31,loja,proria,2,qualificado,1,0,0,1
59,18,existentes/pagos,veiculo novo,1961,"<100
",>=7,3,feminino div/dep/cas,nao,2,23,nenhum,proria,1,altamente qualificado/empresario,1,0,0,1
60,36,Critico-outros creditos,moveis,6229,"<100
",<1,4,feminino div/dep/cas,co requerente,4,23,nenhum,alugada,2,nao qualificado,1,1,0,0
61,9,existentes/pagos,abrir negocio,1391,"<100
",1<=X<4,2,masculino cas/viu,nao,1,27,banco,proria,1,qualificado,1,1,0,1
62,15,Critico-outros creditos,reforma,1537,"Desconhecido
",>=7,4,masculino solteiro,sim,4,50,nenhum,proria,2,qualificado,1,1,0,1
63,36,sem creditos/todos pagos,abrir negocio,1953,"<100
",>=7,4,masculino solteiro,nao,4,61,nenhum,de graca,1,altamente qualificado/empresario,1,1,0,0
64,48,sem creditos/todos pagos,abrir negocio,14421,"<100
",1<=X<4,2,masculino solteiro,nao,2,25,nenhum,proria,1,qualificado,1,1,0,0
65,24,existentes/pagos,reforma,3181,"<100
",<1,4,feminino div/dep/cas,nao,4,26,nenhum,proria,1,qualificado,1,1,0,1
66,27,existentes/pagos,reforma casa,5190,"Desconhecido
",>=7,4,masculino solteiro,nao,4,48,nenhum,proria,4,qualificado,2,1,0,1
67,12,existentes/pagos,reforma,2171,"<100
",<1,2,feminino div/dep/cas,nao,2,29,banco,proria,1,qualificado,1,0,0,1
68,12,existentes/pagos,veiculo novo,1007,>=1000,1<=X<4,4,masculino cas/viu,nao,1,22,nenhum,proria,1,qualificado,1,0,0,1
70,36,existentes/pagos,reforma,2394,"Desconhecido
",1<=X<4,4,feminino div/dep/cas,nao,4,25,nenhum,proria,1,qualificado,1,0,0,1
35,12,existentes/pagos,moveis,1474,"<100
",<1,4,feminino div/dep/cas,nao,NULL,33,banco,proria,1,altamente qualificado/empresario,1,1,0,1
8,36,existentes/pagos,veiculo usado,6948,"<100
",1<=X<4,2,masculino solteiro,nao,2,35,nenhum,NULL,1,altamente qualificado/empresario,1,1,0,1
12,48,existentes/pagos,abrir negocio,4308,"<100
",<1,3,feminino div/dep/cas,nao,4,24,nenhum,NULL,1,qualificado,1,0,0,0
1,6,NULL,reforma,1169,"Desconhecido
",NULL,4,masculino solteiro,nao,4,67,nenhum,proria,2,qualificado,1,1,0,1
69,36,existentes/pagos,educacao,1819,"<100
",1<=X<4,4,masculino solteiro,nao,4,37,loja,de graca,1,NULL,1,1,0,0
10,30,NULL,veiculo novo,5234,"<100
",Desempregado,4,masculino cas/viu,nao,2,28,nenhum,proria,2,altamente qualificado/empresario,1,0,0,0
71,36,existentes/pagos,veiculo usado,8133,"<100
",1<=X<4,1,feminino div/dep/cas,nao,2,30,banco,proria,1,qualificado,1,0,0,1
72,7,Critico-outros creditos,reforma,730,"Desconhecido
",>=7,4,masculino solteiro,nao,2,46,nenhum,alugada,2,nao qualificado,1,1,0,1
73,8,Critico-outros creditos,outros,1164,"<100
",>=7,3,masculino solteiro,nao,4,51,banco,de graca,2,altamente qualificado/empresario,2,1,0,1
74,42,Critico-outros creditos,abrir negocio,5954,"<100
",4<=X<7,2,feminino div/dep/cas,nao,1,41,banco,proria,2,nao qualificado,1,0,0,1
76,12,Critico-outros creditos,veiculo usado,1526,"<100
",>=7,4,masculino solteiro,nao,4,66,nenhum,de graca,2,altamente qualificado/empresario,1,0,0,1
77,42,existentes/pagos,reforma,3965,"<100
",<1,4,masculino solteiro,nao,3,34,nenhum,proria,1,qualificado,1,0,0,0
79,54,sem creditos/todos pagos,veiculo usado,9436,"Desconhecido
",1<=X<4,2,masculino solteiro,nao,2,39,nenhum,proria,1,nao qualificado,2,0,0,1
80,30,existentes/pagos,moveis,3832,"<100
",<1,2,masculino cas/viu,nao,1,22,nenhum,proria,1,qualificado,1,0,0,1
81,24,existentes/pagos,reforma,5943,"Desconhecido
",<1,1,feminino div/dep/cas,nao,1,44,nenhum,proria,2,qualificado,1,1,0,0
82,15,existentes/pagos,reforma,1213,500<=X<1000,>=7,4,masculino solteiro,nao,3,47,loja,proria,1,qualificado,1,1,0,1
83,18,existentes/pagos,abrir negocio,1568,100<=X<500,1<=X<4,3,feminino div/dep/cas,nao,4,24,nenhum,alugada,1,nao qualificado,1,0,0,1
84,24,existentes/pagos,outros,1755,"<100
",>=7,4,feminino div/dep/cas,sim,4,58,nenhum,proria,1,nao qualificado,1,1,0,1
85,10,existentes/pagos,reforma,2315,"<100
",>=7,3,masculino solteiro,nao,4,52,nenhum,proria,1,nao qualificado,1,0,0,1
86,12,Critico-outros creditos,abrir negocio,1412,"<100
",1<=X<4,4,feminino div/dep/cas,sim,2,29,nenhum,proria,2,altamente qualificado/empresario,1,1,0,1
87,18,Critico-outros creditos,moveis,1295,"<100
",<1,4,feminino div/dep/cas,nao,1,27,nenhum,proria,2,qualificado,1,0,0,1
88,36,existentes/pagos,educacao,12612,100<=X<500,1<=X<4,1,masculino solteiro,nao,4,47,nenhum,de graca,1,qualificado,2,1,0,0
